Date,KS confirmed,KY confirmed,KS deaths,KY deaths
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,1,0,0,0
2020-03-09,1,3,0,0
2020-03-10,1,4,0,0
2020-03-11,1,6,0,0
2020-03-12,5,10,1,0
2020-03-13,6,13,1,0
2020-03-14,6,15,1,0
2020-03-15,8,21,1,1
2020-03-16,13,22,1,1
2020-03-17,16,26,1,1
2020-03-18,21,33,1,1
2020-03-19,34,46,1,2
2020-03-20,44,53,1,2
2020-03-21,54,53,2,3
2020-03-22,63,66,2,3
2020-03-23,78,121,2,4
2020-03-24,92,153,2,4
2020-03-25,125,192,3,5
2020-03-26,170,242,3,5
2020-03-27,204,296,4,9
2020-03-28,264,355,5,10
2020-03-29,321,387,5,10
2020-03-30,369,428,9,11
2020-03-31,428,527,10,18
2020-04-01,482,623,10,20
2020-04-02,550,714,13,31
