,Date,KS confirmed,KY confirmed,KS deaths,KY deaths
0,2020-01-22,0.0,0.0,0.0,0.0
1,2020-01-23,0.0,0.0,0.0,0.0
2,2020-01-24,0.0,0.0,0.0,0.0
3,2020-01-25,0.0,0.0,0.0,0.0
4,2020-01-26,0.0,0.0,0.0,0.0
5,2020-01-27,0.0,0.0,0.0,0.0
6,2020-01-28,0.0,0.0,0.0,0.0
7,2020-01-29,0.0,0.0,0.0,0.0
8,2020-01-30,0.0,0.0,0.0,0.0
9,2020-01-31,0.0,0.0,0.0,0.0
10,2020-02-01,0.0,0.0,0.0,0.0
11,2020-02-02,0.0,0.0,0.0,0.0
12,2020-02-03,0.0,0.0,0.0,0.0
13,2020-02-04,0.0,0.0,0.0,0.0
14,2020-02-05,0.0,0.0,0.0,0.0
15,2020-02-06,0.0,0.0,0.0,0.0
16,2020-02-07,0.0,0.0,0.0,0.0
17,2020-02-08,0.0,0.0,0.0,0.0
18,2020-02-09,0.0,0.0,0.0,0.0
19,2020-02-10,0.0,0.0,0.0,0.0
20,2020-02-11,0.0,0.0,0.0,0.0
21,2020-02-12,0.0,0.0,0.0,0.0
22,2020-02-13,0.0,0.0,0.0,0.0
23,2020-02-14,0.0,0.0,0.0,0.0
24,2020-02-15,0.0,0.0,0.0,0.0
25,2020-02-16,0.0,0.0,0.0,0.0
26,2020-02-17,0.0,0.0,0.0,0.0
27,2020-02-18,0.0,0.0,0.0,0.0
28,2020-02-19,0.0,0.0,0.0,0.0
29,2020-02-20,0.0,0.0,0.0,0.0
30,2020-02-21,0.0,0.0,0.0,0.0
31,2020-02-22,0.0,0.0,0.0,0.0
32,2020-02-23,0.0,0.0,0.0,0.0
33,2020-02-24,0.0,0.0,0.0,0.0
34,2020-02-25,0.0,0.0,0.0,0.0
35,2020-02-26,0.0,0.0,0.0,0.0
36,2020-02-27,0.0,0.0,0.0,0.0
37,2020-02-28,0.0,0.0,0.0,0.0
38,2020-02-29,0.0,0.0,0.0,0.0
39,2020-03-01,0.0,0.0,0.0,0.0
40,2020-03-02,0.0,0.0,0.0,0.0
41,2020-03-03,0.0,0.0,0.0,0.0
42,2020-03-04,0.0,0.0,0.0,0.0
43,2020-03-05,0.0,0.0,0.0,0.0
44,2020-03-06,0.0,0.0,0.0,0.0
45,2020-03-07,0.0,0.0,0.0,0.0
46,2020-03-08,1.0,0.0,0.0,0.0
47,2020-03-09,0.0,3.0,0.0,0.0
48,2020-03-10,0.0,1.0,0.0,0.0
49,2020-03-11,0.0,2.0,0.0,0.0
50,2020-03-12,4.0,4.0,1.0,0.0
51,2020-03-13,1.0,3.0,0.0,0.0
52,2020-03-14,0.0,2.0,0.0,0.0
53,2020-03-15,2.0,6.0,0.0,1.0
54,2020-03-16,5.0,1.0,0.0,0.0
55,2020-03-17,3.0,4.0,0.0,0.0
56,2020-03-18,5.0,7.0,0.0,0.0
57,2020-03-19,13.0,13.0,0.0,1.0
58,2020-03-20,10.0,7.0,0.0,0.0
59,2020-03-21,10.0,0.0,1.0,1.0
60,2020-03-22,9.0,13.0,0.0,0.0
61,2020-03-23,15.0,55.0,0.0,1.0
62,2020-03-24,14.0,32.0,0.0,0.0
63,2020-03-25,33.0,39.0,1.0,1.0
64,2020-03-26,45.0,50.0,0.0,0.0
65,2020-03-27,34.0,54.0,1.0,4.0
66,2020-03-28,60.0,59.0,1.0,1.0
67,2020-03-29,57.0,32.0,0.0,0.0
68,2020-03-30,48.0,41.0,4.0,1.0
69,2020-03-31,59.0,99.0,1.0,7.0
70,2020-04-01,54.0,96.0,0.0,2.0
71,2020-04-02,68.0,91.0,3.0,11.0
72,2020-04-03,70.0,61.0,3.0,6.0
73,2020-04-04,78.0,96.0,5.0,3.0
74,2020-04-05,49.0,99.0,1.0,5.0
75,2020-04-06,98.0,111.0,3.0,14.0
76,2020-04-07,54.0,59.0,5.0,3.0
77,2020-04-08,144.0,195.0,8.0,4.0
78,2020-04-09,61.0,171.0,4.0,13.0
79,2020-04-10,58.0,185.0,6.0,11.0
80,2020-04-11,100.0,149.0,7.0,4.0
81,2020-04-12,71.0,110.0,1.0,2.0
82,2020-04-13,41.0,85.0,6.0,9.0
83,2020-04-14,50.0,156.0,7.0,10.0
84,2020-04-15,68.0,87.0,8.0,6.0
85,2020-04-16,94.0,126.0,4.0,8.0
86,2020-04-17,116.0,107.0,4.0,8.0
87,2020-04-18,86.0,168.0,2.0,7.0
88,2020-04-19,59.0,263.0,7.0,4.0
89,2020-04-20,137.0,85.0,8.0,6.0
90,2020-04-21,40.0,150.0,0.0,17.0
91,2020-04-22,186.0,176.0,10.0,14.0
92,2020-04-23,271.0,114.0,2.0,6.0
93,2020-04-24,292.0,286.0,0.0,9.0
94,2020-04-25,282.0,129.0,6.0,5.0
95,2020-04-26,118.0,172.0,2.0,3.0
96,2020-04-27,154.0,79.0,4.0,5.0
97,2020-04-28,163.0,227.0,2.0,12.0
98,2020-04-29,244.0,163.0,6.0,10.0
99,2020-04-30,501.0,172.0,1.0,5.0
100,2020-05-01,211.0,169.0,6.0,8.0
101,2020-05-02,299.0,0.0,1.0,0.0
102,2020-05-03,284.0,248.0,3.0,5.0
103,2020-05-04,215.0,124.0,11.0,8.0
104,2020-05-05,212.0,572.0,5.0,14.0
105,2020-05-06,278.0,119.0,3.0,8.0
106,2020-05-07,410.0,193.0,0.0,11.0
107,2020-05-08,354.0,165.0,4.0,4.0
108,2020-05-09,250.0,151.0,5.0,6.0
109,2020-05-10,231.0,0.0,0.0,0.0
110,2020-05-11,134.0,236.0,6.0,7.0
111,2020-05-12,189.0,177.0,5.0,10.0
112,2020-05-13,190.0,216.0,1.0,5.0
113,2020-05-14,210.0,147.0,4.0,2.0
114,2020-05-15,205.0,221.0,3.0,4.0
115,2020-05-16,83.0,239.0,2.0,2.0
116,2020-05-17,51.0,0.0,0.0,0.0
117,2020-05-18,353.0,243.0,1.0,12.0
118,2020-05-19,20.0,132.0,1.0,20.0
119,2020-05-20,205.0,115.0,5.0,10.0
120,2020-05-21,59.0,122.0,2.0,10.0
121,2020-05-22,357.0,137.0,0.0,5.0
122,2020-05-23,13.0,146.0,1.0,0.0
123,2020-05-24,4.0,0.0,0.0,0.0
124,2020-05-25,25.0,0.0,3.0,0.0
125,2020-05-26,203.0,381.0,2.0,3.0
126,2020-05-27,118.0,125.0,1.0,6.0
127,2020-05-28,37.0,105.0,3.0,9.0
128,2020-05-29,328.0,278.0,0.0,9.0
129,2020-05-30,0.0,237.0,0.0,13.0
130,2020-05-31,0.0,0.0,0.0,0.0
131,2020-06-01,289.0,338.0,1.0,8.0
132,2020-06-02,19.0,138.0,6.0,3.0
133,2020-06-03,153.0,236.0,4.0,8.0
134,2020-06-04,0.0,296.0,0.0,7.0
135,2020-06-05,207.0,271.0,8.0,8.0
136,2020-06-06,0.0,304.0,0.0,4.0
137,2020-06-07,34.0,0.0,0.0,0.0
138,2020-06-08,215.0,187.0,4.0,2.0
139,2020-06-09,0.0,234.0,0.0,6.0
140,2020-06-10,166.0,175.0,4.0,6.0
141,2020-06-11,0.0,62.0,0.0,10.0
142,2020-06-12,235.0,228.0,3.0,4.0
143,2020-06-13,0.0,276.0,0.0,1.0
144,2020-06-14,0.0,0.0,0.0,0.0
145,2020-06-15,367.0,201.0,3.0,6.0
146,2020-06-16,0.0,179.0,0.0,6.0
147,2020-06-17,269.0,168.0,1.0,7.0
148,2020-06-18,0.0,206.0,0.0,2.0
149,2020-06-19,386.0,256.0,7.0,3.0
150,2020-06-20,58.0,177.0,8.0,2.0
151,2020-06-21,36.0,118.0,0.0,2.0
152,2020-06-22,317.0,89.0,0.0,0.0
153,2020-06-23,33.0,308.0,0.0,11.0
154,2020-06-24,482.0,222.0,0.0,1.0
155,2020-06-25,79.0,254.0,1.0,8.0
156,2020-06-26,502.0,241.0,2.0,7.0
157,2020-06-27,36.0,310.0,3.0,1.0
158,2020-06-28,194.0,65.0,1.0,4.0
159,2020-06-29,657.0,115.0,2.0,2.0
160,2020-06-30,33.0,277.0,2.0,5.0
161,2020-07-01,533.0,218.0,2.0,7.0
162,2020-07-02,0.0,237.0,0.0,9.0
163,2020-07-03,0.0,297.0,0.0,4.0
164,2020-07-04,0.0,0.0,0.0,0.0
165,2020-07-05,0.0,0.0,0.0,0.0
166,2020-07-06,1907.0,776.0,7.0,8.0
