,,1/19,2/19,3/19,4/19,5/19,6/19,7/19,8/19,9/19,10/19,11/19,12/19,1/20,2/20,3/20,4/20,5/20,6/20,7/20,8/20,9/20,10/20,11/20,12/20,1/21,2/21,3/21
Port Name,Measure,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March
Boquillas,Pedestrians,144,"2,385","4,362","2,875","1,563","1,041",934,709,"1,001","1,700","3,498","2,467","2,585","3,036","2,629",,,13,10,21,20,,5,,,11,30
Brownsville,Pedestrians,"233,073","235,337","256,192","269,464","261,873","238,032","311,597","265,214","249,583","256,951","260,826","285,701","256,787","232,880","176,254","49,915","78,917","88,932","84,241","95,343","90,815","106,614","102,745","105,954","103,503","91,343","120,717"
Brownsville,Personal Vehicle Passengers,"844,406","705,241","804,857","635,117","763,204","783,959","824,697","831,351","785,306","775,063","790,619","872,669","706,955","638,585","523,214","176,319","305,295","318,015","266,521","310,612","302,292","387,865","405,455","396,290","408,773","336,984","444,728"
Brownsville,Personal Vehicles,"398,495","344,903","384,475","307,136","367,141","369,607","391,050","398,131","384,121","389,573","380,549","405,153","390,959","361,923","307,109","130,488","203,917","216,279","188,200","209,364","200,282","247,198","260,882","254,936","254,515","218,883","282,424"
Brownsville,Rail Containers Empty,"7,980","7,452","7,071","7,504","7,677","6,651","8,127","7,912","7,993","7,930","7,382","7,050","8,065","7,226","7,449","3,914","2,466","2,758","3,155","3,773","4,020","4,615","4,430","4,653","5,274","3,837","4,611"
Brownsville,Rail Containers Loaded,574,704,559,490,794,690,869,396,908,877,804,917,869,923,938,"1,038","1,343","1,305","1,011","1,092","1,293","1,168","1,200","1,080","1,224","1,051","1,161"
Brownsville,Trains,85,80,76,75,83,77,91,86,91,88,88,79,89,84,87,57,48,50,44,52,57,57,57,57,62,51,61
Brownsville,Truck Containers Empty,"10,214","10,172","11,553","11,935","12,038","10,312","12,428","12,105","10,843","12,724","10,674","9,798","12,421","12,733","14,705","8,299","10,133","12,302","14,163","14,036","15,308","15,131","14,690","16,033","16,271","13,154","13,424"
Brownsville,Truck Containers Loaded,"12,189","11,444","12,486","13,869","14,247","13,166","14,110","14,152","12,768","13,041","11,585","10,223","10,688","10,313","10,403","5,665","6,797","10,086","10,918","10,861","10,783","11,038","9,910","9,248","9,943","8,949","11,459"
