,Date,TX Confirm
0,2020-01-22,
1,2020-01-23,0.0
2,2020-01-24,0.0
3,2020-01-25,0.0
4,2020-01-26,0.0
5,2020-01-27,0.0
6,2020-01-28,0.0
7,2020-01-29,0.0
8,2020-01-30,0.0
9,2020-01-31,0.0
10,2020-02-01,0.0
11,2020-02-02,0.0
12,2020-02-03,0.0
13,2020-02-04,0.0
14,2020-02-05,0.0
15,2020-02-06,0.0
16,2020-02-07,0.0
17,2020-02-08,0.0
18,2020-02-09,0.0
19,2020-02-10,0.0
20,2020-02-11,0.0
21,2020-02-12,0.0
22,2020-02-13,0.0
23,2020-02-14,0.0
24,2020-02-15,0.0
25,2020-02-16,0.0
26,2020-02-17,0.0
27,2020-02-18,0.0
28,2020-02-19,0.0
29,2020-02-20,0.0
30,2020-02-21,0.0
31,2020-02-22,0.0
32,2020-02-23,0.0
33,2020-02-24,0.0
34,2020-02-25,0.0
35,2020-02-26,0.0
36,2020-02-27,0.0
37,2020-02-28,0.0
38,2020-02-29,0.0
39,2020-03-01,0.0
40,2020-03-02,0.0
41,2020-03-03,0.0
42,2020-03-04,0.0
43,2020-03-05,3.0
44,2020-03-06,1.0
45,2020-03-07,4.0
46,2020-03-08,3.0
47,2020-03-09,5.0
48,2020-03-10,5.0
49,2020-03-11,0.0
50,2020-03-12,2.0
51,2020-03-13,14.0
52,2020-03-14,14.0
53,2020-03-15,8.0
54,2020-03-16,1.0
55,2020-03-17,16.0
56,2020-03-18,31.0
57,2020-03-19,123.0
58,2020-03-20,74.0
59,2020-03-21,34.0
60,2020-03-22,27.0
61,2020-03-23,337.0
62,2020-03-24,192.0
63,2020-03-25,317.0
64,2020-03-26,365.0
65,2020-03-27,339.0
66,2020-03-28,310.0
67,2020-03-29,438.0
68,2020-03-30,422.0
69,2020-03-31,519.0
70,2020-04-01,664.0
71,2020-04-02,686.0
72,2020-04-03,750.0
73,2020-04-04,659.0
74,2020-04-05,644.0
75,2020-04-06,576.0
76,2020-04-07,1070.0
77,2020-04-08,1065.0
78,2020-04-09,845.0
79,2020-04-10,1469.0
80,2020-04-11,921.0
81,2020-04-12,778.0
82,2020-04-13,479.0
83,2020-04-14,410.0
84,2020-04-15,1296.0
85,2020-04-16,920.0
86,2020-04-17,922.0
87,2020-04-18,499.0
88,2020-04-19,842.0
89,2020-04-20,356.0
90,2020-04-21,737.0
91,2020-04-22,869.0
92,2020-04-23,880.0
93,2020-04-24,861.0
94,2020-04-25,966.0
95,2020-04-26,849.0
96,2020-04-27,659.0
97,2020-04-28,835.0
98,2020-04-29,862.0
99,2020-04-30,1018.0
100,2020-05-01,1121.0
101,2020-05-02,1282.0
102,2020-05-03,1000.0
103,2020-05-04,785.0
104,2020-05-05,1035.0
105,2020-05-06,1032.0
106,2020-05-07,1138.0
107,2020-05-08,1223.0
108,2020-05-09,1249.0
109,2020-05-10,986.0
110,2020-05-11,1000.0
111,2020-05-12,1173.0
112,2020-05-13,1337.0
113,2020-05-14,1425.0
114,2020-05-15,1336.0
115,2020-05-16,1798.0
116,2020-05-17,776.0
117,2020-05-18,890.0
118,2020-05-19,1194.0
119,2020-05-20,1264.0
120,2020-05-21,1045.0
121,2020-05-22,1327.0
122,2020-05-23,1059.0
123,2020-05-24,840.0
124,2020-05-25,623.0
125,2020-05-26,630.0
126,2020-05-27,1359.0
127,2020-05-28,1852.0
128,2020-05-29,1209.0
129,2020-05-30,1350.0
130,2020-05-31,1950.0
131,2020-06-01,592.0
132,2020-06-02,1683.0
133,2020-06-03,1674.0
134,2020-06-04,1614.0
135,2020-06-05,1690.0
136,2020-06-06,1936.0
137,2020-06-07,1424.0
138,2020-06-08,653.0
139,2020-06-09,1943.0
140,2020-06-10,2448.0
141,2020-06-11,1814.0
142,2020-06-12,2091.0
143,2020-06-13,2338.0
144,2020-06-14,1918.0
145,2020-06-15,1265.0
146,2020-06-16,3815.0
147,2020-06-17,3141.0
148,2020-06-18,3509.0
149,2020-06-19,3471.0
150,2020-06-20,4391.0
151,2020-06-21,3864.0
152,2020-06-22,3278.0
153,2020-06-23,5532.0
154,2020-06-24,5551.0
155,2020-06-25,5982.0
156,2020-06-26,5717.0
157,2020-06-27,5758.0
158,2020-06-28,5352.0
159,2020-06-29,4288.0
160,2020-06-30,6975.0
161,2020-07-01,8076.0
162,2020-07-02,7915.0
163,2020-07-03,7555.0
164,2020-07-04,8253.0
165,2020-07-05,3454.0
166,2020-07-06,5318.0
167,2020-07-07,10028.0
168,2020-07-08,9979.0
169,2020-07-09,9782.0
170,2020-07-10,9765.0
171,2020-07-11,10351.0
172,2020-07-12,8196.0
173,2020-07-13,5655.0
174,2020-07-14,10745.0
175,2020-07-15,11395.0
176,2020-07-16,15338.0
